Pokemon,Location,Available in HeartGold,Available in Soulsilver,Appears in Morning,Appears in Daytime,Appears in Nighttime,Rarity,Levels
Tentacruel,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,40
Horsea,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,40
Kingler,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,40
Seadra,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,40
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,20
Horsea,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,10
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,10
Zubat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,23
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,22-24
Golbat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,23
Seel,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-24
Makuhita,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Absol,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Chingling,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Bronzor,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Zubat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,23
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,22-24
Golbat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,23
Seel,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-24
Makuhita,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Absol,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Chingling,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Bronzor,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Tentacruel,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,15-25
Horsea,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,15-25
Seadra,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,15-30
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,40
Horsea,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,40
Kingler,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,40
Seadra,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,40
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,20
Horsea,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,10
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,10
Zubat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,24
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,23-25
Golbat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,24
Seel,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,23-25
Makuhita,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Absol,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,23-24
Chingling,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Bronzor,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,23-24
Lugia,Whirl Islands,No,Yes,Yes,Yes,Yes,Limited,45
Lugia,Whirl Islands,Yes,No,Yes,Yes,Yes,Limited,70
Pidgey,Route 1,Yes,Yes,Yes,Yes,No,Common,2-4
Rattata,Route 1,Yes,Yes,Yes,Yes,No,Common,2
Rattata,Route 1,Yes,Yes,No,No,Yes,Common,2-6
Hoothoot,Route 1,Yes,Yes,No,No,Yes,Common,2-4
Furret,Route 1,Yes,Yes,Yes,Yes,No,Rare,6
Sentret,Route 1,Yes,Yes,Yes,Yes,No,Uncommon,3
Plusle,Route 1,Yes,Yes,Yes,Yes,Yes,Uncommon,2
Minun,Route 1,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Shinx,Route 1,Yes,Yes,Yes,Yes,Yes,Common,2-3
Poochyena,Route 1,Yes,Yes,Yes,Yes,Yes,Common,2
Hoothoot,Route 1,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 1,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Route 1,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Route 1,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Wurmple,Route 1,Yes,Yes,Yes,Yes,Yes,Limited,2-10
Caterpie,Route 2,Yes,No,Yes,Yes,No,Common,3-4
Weedle,Route 2,No,Yes,No,Yes,No,Common,3-4
Pidgey,Route 2,Yes,No,No,Yes,No,Common,3-8
Pidgey,Route 2,No,Yes,No,Yes,No,Common,3-7
Pidgey,Route 2,Yes,No,Yes,No,No,Common,3
Hoothoot,Route 2,Yes,Yes,No,No,Yes,Common,3-5
Ledyba,Route 2,No,Yes,Yes,No,No,Common,3
Spinarak,Route 2,Yes,No,No,No,Yes,Common,3-4
Beedrill,Route 2,No,Yes,No,No,Yes,Rare,10
Pidgeotto,Route 2,Yes,No,No,Yes,No,Rare,7-10
Pidgeotto,Route 2,Yes,Yes,Yes,Yes,No,Rare,7
Ledyba,Route 2,No,Yes,No,Yes,No,Rare,10
Ledian,Route 2,No,Yes,Yes,No,No,Rare,7-10
Spinarak,Route 2,Yes,No,Yes,No,No,Rare,10
Ariados,Route 2,Yes,No,No,No,Yes,Rare,7
Metapod,Route 2,Yes,No,Yes,No,No,Uncommon,5
Butterfree,Route 2,Yes,No,No,Yes,No,Uncommon,7-10
Butterfree,Route 2,Yes,No,Yes,No,No,Uncommon,7-8
Weedle,Route 2,No,Yes,Yes,No,No,Uncommon,3-4
Weedle,Route 2,No,Yes,No,No,Yes,Uncommon,4-5
Kakuna,Route 2,No,Yes,No,No,Yes,Uncommon,3-7
Kakuna,Route 2,No,Yes,Yes,No,No,Uncommon,5
Beedrill,Route 2,No,Yes,No,Yes,No,Uncommon,7-10
Beedrill,Route 2,No,Yes,Yes,No,No,Uncommon,7
Pidgey,Route 2,No,Yes,Yes,No,No,Uncommon,3
Noctowl,Route 2,Yes,No,No,No,Yes,Uncommon,7-10
Noctowl,Route 2,No,Yes,No,No,Yes,Uncommon,7
Plusle,Route 2,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Minun,Route 2,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Shinx,Route 2,Yes,Yes,Yes,Yes,Yes,Common,3-5
Hoothoot,Route 2,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 2,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Route 2,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Route 2,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Wurmple,Route 2,Yes,Yes,Yes,Yes,Yes,Limited,2-10
Caterpie,Route 2,Yes,No,Yes,Yes,No,Common,3-4
Weedle,Route 2,No,Yes,No,Yes,No,Common,3-4
Pidgey,Route 2,Yes,No,No,Yes,No,Common,3-8
Pidgey,Route 2,No,Yes,No,Yes,No,Common,3-7
Pidgey,Route 2,Yes,No,Yes,No,No,Common,3
Hoothoot,Route 2,Yes,Yes,No,No,Yes,Common,3-5
Ledyba,Route 2,No,Yes,Yes,No,No,Common,3
Spinarak,Route 2,Yes,No,No,No,Yes,Common,3-4
Beedrill,Route 2,No,Yes,No,No,Yes,Rare,10
Pidgeotto,Route 2,Yes,No,No,Yes,No,Rare,7-10
Pidgeotto,Route 2,Yes,Yes,Yes,Yes,No,Rare,7
Ledyba,Route 2,No,Yes,No,Yes,No,Rare,10
Ledian,Route 2,No,Yes,Yes,No,No,Rare,7-10
Spinarak,Route 2,Yes,No,Yes,No,No,Rare,10
Ariados,Route 2,Yes,No,No,No,Yes,Rare,7
Metapod,Route 2,Yes,No,Yes,Yes,No,Uncommon,5
Butterfree,Route 2,Yes,No,Yes,No,No,Uncommon,7-8
Weedle,Route 2,No,Yes,Yes,No,No,Uncommon,3-4
Weedle,Route 2,No,Yes,No,No,Yes,Uncommon,4-5
Kakuna,Route 2,No,Yes,No,No,Yes,Uncommon,3-7
Kakuna,Route 2,No,Yes,Yes,Yes,No,Uncommon,5
Beedrill,Route 2,No,Yes,Yes,No,No,Uncommon,7
Pidgey,Route 2,No,Yes,Yes,No,No,Uncommon,3
Noctowl,Route 2,Yes,No,No,No,Yes,Uncommon,7-10
Noctowl,Route 2,No,Yes,No,No,Yes,Uncommon,7
Plusle,Route 2,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Minun,Route 2,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Shinx,Route 2,Yes,Yes,Yes,Yes,Yes,Common,3-5
Hoothoot,Route 2,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 2,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Route 2,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Route 2,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Wurmple,Route 2,Yes,Yes,Yes,Yes,Yes,Limited,2-10
Rattata,Route 3,Yes,No,Yes,Yes,Yes,Common,5-10
Rattata,Route 3,No,Yes,Yes,Yes,No,Common,5
Rattata,Route 3,No,Yes,No,No,Yes,Common,5-8
Spearow,Route 3,Yes,Yes,Yes,Yes,No,Common,5-8
Zubat,Route 3,Yes,Yes,No,No,Yes,Common,5
Arbok,Route 3,No,Yes,Yes,Yes,Yes,Rare,10
Ekans,Route 3,No,Yes,Yes,Yes,Yes,Uncommon,8
Jigglypuff,Route 3,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Plusle,Route 3,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Minun,Route 3,Yes,Yes,Yes,Yes,Yes,Uncommon,8
Shinx,Route 3,Yes,Yes,Yes,Yes,Yes,Common,5-8
Gulpin,Route 3,No,Yes,Yes,Yes,Yes,Common,5
Baltoy,Route 3,Yes,No,Yes,Yes,Yes,Common,5
Hoothoot,Route 3,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Route 3,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Wurmple,Route 3,Yes,Yes,Yes,Yes,Yes,Limited,2-10
Rattata,Route 4,Yes,No,Yes,Yes,Yes,Common,5-10
Rattata,Route 4,No,Yes,Yes,Yes,No,Common,5
Rattata,Route 4,No,Yes,No,No,Yes,Common,5-8
Spearow,Route 4,Yes,Yes,Yes,Yes,No,Common,5-8
Zubat,Route 4,Yes,Yes,No,No,Yes,Common,5
Arbok,Route 4,No,Yes,Yes,Yes,Yes,Rare,10
Ekans,Route 4,No,Yes,Yes,Yes,Yes,Uncommon,8
Jigglypuff,Route 4,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Linoone,Route 4,Yes,Yes,Yes,Yes,Yes,Uncommon,8
Whismur,Route 4,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Bidoof,Route 4,Yes,Yes,Yes,Yes,Yes,Uncommon,8
Buizel,Route 4,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Pidgey,Route 5,Yes,Yes,Yes,Yes,No,Common,13-15
Oddish,Route 5,Yes,Yes,No,No,Yes,Common,13
Meowth,Route 5,No,Yes,No,No,Yes,Common,13
Bellsprout,Route 5,Yes,Yes,Yes,Yes,No,Common,13
Gloom,Route 5,Yes,Yes,No,No,Yes,Uncommon,15
Meowth,Route 5,No,Yes,Yes,Yes,No,Uncommon,14
Abra,Route 5,Yes,Yes,Yes,Yes,Yes,Uncommon,12-14
Bellsprout,Route 5,Yes,Yes,No,No,Yes,Uncommon,14
Plusle,Route 5,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Minun,Route 5,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Shinx,Route 5,Yes,Yes,Yes,Yes,Yes,Common,13-14
Hoothoot,Route 5,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Route 5,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Combee,Route 5,Yes,Yes,Yes,Yes,Yes,Limited,10-20
Pidgey,Route 6,Yes,No,Yes,Yes,No,Common,13-15
Pidgey,Route 6,No,Yes,Yes,Yes,No,Common,13
Oddish,Route 6,Yes,Yes,No,No,Yes,Common,13
Meowth,Route 6,No,Yes,No,No,Yes,Common,13-14
Bellsprout,Route 6,Yes,Yes,Yes,Yes,No,Common,13
Meowth,Route 6,No,Yes,Yes,Yes,No,Uncommon,14
Abra,Route 6,Yes,Yes,Yes,Yes,Yes,Uncommon,12-14
Bellsprout,Route 6,Yes,Yes,No,No,Yes,Uncommon,14
Magnemite,Route 6,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Linoone,Route 6,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Whismur,Route 6,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Bidoof,Route 6,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Buizel,Route 6,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Psyduck,Route 6,Yes,Yes,Yes,Yes,Yes,Common,5-10
Golduck,Route 6,Yes,Yes,Yes,Yes,Yes,Uncommon,10
Poliwag,Route 6,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 6,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Route 6,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 6,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 6,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Route 6,Yes,Yes,Yes,Yes,Yes,Rare,10
Hoothoot,Route 6,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Route 6,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Combee,Route 6,Yes,Yes,Yes,Yes,Yes,Limited,10-20
Rattata,Route 7,Yes,No,Yes,No,No,Common,15-19
Rattata,Route 7,Yes,No,No,Yes,No,Common,17-19
Rattata,Route 7,Yes,No,No,No,Yes,Common,17
Spearow,Route 7,Yes,Yes,Yes,Yes,No,Common,17
Vulpix,Route 7,No,Yes,No,Yes,No,Common,15-18
Meowth,Route 7,No,Yes,Yes,Yes,Yes,Common,17
Growlithe,Route 7,Yes,No,No,Yes,No,Common,18-19
Murkrow,Route 7,Yes,No,No,No,Yes,Common,17-19
Murkrow,Route 7,No,Yes,No,No,Yes,Common,17
Rattata,Route 7,No,Yes,Yes,No,No,Rare,15
Persian,Route 7,No,Yes,Yes,Yes,Yes,Rare,19
Houndour,Route 7,Yes,Yes,No,No,Yes,Rare,15
Raticate,Route 7,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Vulpix,Route 7,No,Yes,Yes,No,Yes,Uncommon,18
Growlithe,Route 7,Yes,No,Yes,No,Yes,Uncommon,18
Plusle,Route 7,Yes,Yes,Yes,Yes,Yes,Uncommon,17
Minun,Route 7,Yes,Yes,Yes,Yes,Yes,Uncommon,18
Shinx,Route 7,Yes,Yes,Yes,Yes,Yes,Common,17-18
Spearow,Route 7,Yes,Yes,Yes,Yes,Yes,Limited,11-20
Heracross,Route 7,Yes,Yes,Yes,Yes,Yes,Limited,11-17
Combee,Route 7,Yes,Yes,Yes,Yes,Yes,Limited,10-20
Pidgeotto,Route 8,Yes,Yes,Yes,Yes,No,Common,17-19
Meowth,Route 8,No,Yes,Yes,Yes,Yes,Common,17
Haunter,Route 8,Yes,Yes,No,No,Yes,Common,19
Noctowl,Route 8,Yes,No,No,No,Yes,Common,17-18
Vulpix,Route 8,No,Yes,No,No,Yes,Rare,17
Growlithe,Route 8,Yes,No,No,No,Yes,Rare,17
Kadabra,Route 8,Yes,Yes,Yes,Yes,Yes,Rare,15
Vulpix,Route 8,No,Yes,Yes,Yes,No,Uncommon,18
Growlithe,Route 8,Yes,No,Yes,Yes,No,Uncommon,18
Abra,Route 8,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Noctowl,Route 8,No,Yes,No,No,Yes,Uncommon,18
Plusle,Route 8,Yes,Yes,Yes,Yes,Yes,Uncommon,17-19
Minun,Route 8,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Shinx,Route 8,Yes,Yes,Yes,Yes,Yes,Common,15-19
Hoothoot,Route 8,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Route 8,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Combee,Route 8,Yes,Yes,Yes,Yes,Yes,Limited,10-20
Rattata,Route 9,No,Yes,Yes,Yes,No,Common,13
Rattata,Route 9,No,Yes,No,No,Yes,Common,13-15
Rattata,Route 9,Yes,No,Yes,Yes,Yes,Common,15
Raticate,Route 9,Yes,Yes,No,No,Yes,Common,13-15
Spearow,Route 9,No,Yes,Yes,Yes,No,Common,13-15
Mankey,Route 9,Yes,No,Yes,Yes,Yes,Common,13
Fearow,Route 9,Yes,Yes,Yes,Yes,No,Rare,15
Primeape,Route 9,Yes,No,Yes,Yes,Yes,Rare,15
Raticate,Route 9,Yes,Yes,Yes,Yes,No,Uncommon,15
Spearow,Route 9,Yes,No,Yes,Yes,No,Uncommon,13
Linoone,Route 9,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Whismur,Route 9,Yes,Yes,Yes,Yes,Yes,Uncommon,13-15
Bidoof,Route 9,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Buizel,Route 9,Yes,Yes,Yes,Yes,Yes,Uncommon,13-15
Sableye,Route 9,Yes,No,Yes,Yes,Yes,Common,13-15
Mawile,Route 9,No,Yes,Yes,Yes,Yes,Common,13-15
Goldeen,Route 9,Yes,Yes,Yes,Yes,Yes,Common,10-15
Seaking,Route 9,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Goldeen,Route 9,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Route 9,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Route 9,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Route 9,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 9,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 9,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Route 9,Yes,Yes,Yes,Yes,Yes,Rare,10
Raticate,Route 10,Yes,Yes,Yes,No,No,Common,16-18
Raticate,Route 10,Yes,Yes,No,No,Yes,Common,16
Spearow,Route 10,Yes,Yes,Yes,Yes,No,Common,16
Voltorb,Route 10,Yes,Yes,Yes,Yes,Yes,Common,17
Quagsire,Route 10,Yes,Yes,No,No,Yes,Common,16-18
Electabuzz,Route 10,Yes,Yes,Yes,No,Yes,Rare,15
Raticate,Route 10,Yes,Yes,No,Yes,No,Uncommon,16-18
Fearow,Route 10,Yes,Yes,Yes,Yes,No,Uncommon,18
Electabuzz,Route 10,Yes,Yes,No,Yes,No,Uncommon,15-18
Linoone,Route 10,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Whismur,Route 10,Yes,Yes,Yes,Yes,Yes,Uncommon,16-17
Bidoof,Route 10,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Buizel,Route 10,Yes,Yes,Yes,Yes,Yes,Uncommon,16-17
Goldeen,Route 10,Yes,Yes,Yes,Yes,Yes,Common,10-15
Seaking,Route 10,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Goldeen,Route 10,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Route 10,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Route 10,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Route 10,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 10,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 10,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Route 10,Yes,Yes,Yes,Yes,Yes,Rare,10
Zapdos,Route 10,Yes,Yes,Yes,Yes,Yes,Limited,50
Rattata,Route 11,Yes,Yes,Yes,Yes,Yes,Common,15
Drowzee,Route 11,Yes,Yes,Yes,Yes,Yes,Common,14-16
Magnemite,Route 11,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Hypno,Route 11,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Plusle,Route 11,Yes,Yes,Yes,Yes,Yes,Uncommon,14-15
Minun,Route 11,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Shinx,Route 11,Yes,Yes,Yes,Yes,Yes,Common,14-15
Snorlax,Route 11,Yes,Yes,Yes,Yes,Yes,Limited,50
Spearow,Route 11,Yes,Yes,Yes,Yes,Yes,Limited,11-20
Heracross,Route 11,Yes,Yes,Yes,Yes,Yes,Limited,11-17
Combee,Route 11,Yes,Yes,Yes,Yes,Yes,Limited,10-20
Relicanth,Route 12,Yes,Yes,Yes,Yes,Yes,Common,10-40
Tentacruel,Route 12,Yes,Yes,Yes,Yes,Yes,Common,25
Quagsire,Route 12,Yes,Yes,Yes,Yes,Yes,Common,25
Tentacool,Route 12,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 12,Yes,Yes,Yes,Yes,Yes,Rare,40
Qwilfish,Route 12,Yes,Yes,Yes,Yes,Yes,Rare,40
Tentacool,Route 12,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 12,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 12,Yes,Yes,Yes,Yes,Yes,Common,10
Tentacool,Route 12,Yes,Yes,Yes,Yes,Yes,Rare,10
Hoothoot,Route 12,Yes,Yes,Yes,Yes,Yes,Limited,21-34
Ledyba,Route 12,No,Yes,Yes,Yes,Yes,Limited,21-27
Spinarak,Route 12,Yes,No,Yes,Yes,Yes,Limited,21-27
Wurmple,Route 12,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Nidorina,Route 13,Yes,Yes,Yes,Yes,Yes,Common,23
Nidorino,Route 13,Yes,Yes,Yes,Yes,Yes,Common,23
Chansey,Route 13,Yes,Yes,Yes,Yes,Yes,Rare,25
Pidgeotto,Route 13,Yes,Yes,Yes,Yes,No,Uncommon,25
Noctowl,Route 13,Yes,Yes,No,No,Yes,Uncommon,25
Hoppip,Route 13,Yes,Yes,Yes,Yes,No,Uncommon,22-24
Quagsire,Route 13,Yes,Yes,No,No,Yes,Uncommon,22-24
Linoone,Route 13,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Whismur,Route 13,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Bidoof,Route 13,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Buizel,Route 13,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Chansey,Route 13,Yes,Yes,Yes,Yes,Yes,Common,23
Tentacool,Route 13,Yes,Yes,Yes,Yes,Yes,Common,25
Quagsire,Route 13,Yes,Yes,Yes,Yes,Yes,Common,25
Tentacruel,Route 13,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Tentacool,Route 13,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 13,Yes,Yes,Yes,Yes,Yes,Rare,40
Qwilfish,Route 13,Yes,Yes,Yes,Yes,Yes,Rare,40
Tentacool,Route 13,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 13,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 13,Yes,Yes,Yes,Yes,Yes,Common,10
Tentacool,Route 13,Yes,Yes,Yes,Yes,Yes,Rare,10
Hoothoot,Route 13,Yes,Yes,Yes,Yes,Yes,Limited,21-34
Ledyba,Route 13,No,Yes,Yes,Yes,Yes,Limited,21-27
Spinarak,Route 13,Yes,No,Yes,Yes,Yes,Limited,21-27
Wurmple,Route 13,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Nidorina,Route 14,Yes,Yes,Yes,Yes,Yes,Common,23
Nidorino,Route 14,Yes,Yes,Yes,Yes,Yes,Common,23
Chansey,Route 14,Yes,Yes,Yes,Yes,Yes,Rare,25
Skiploom,Route 14,Yes,Yes,Yes,Yes,No,Rare,26
Pidgeotto,Route 14,Yes,Yes,Yes,Yes,No,Uncommon,25
Noctowl,Route 14,Yes,Yes,No,No,Yes,Uncommon,25
Hoppip,Route 14,Yes,Yes,Yes,Yes,No,Uncommon,24
Quagsire,Route 14,Yes,Yes,No,No,Yes,Uncommon,24-26
Plusle,Route 14,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Minun,Route 14,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Shinx,Route 14,Yes,Yes,Yes,Yes,Yes,Common,23-25
Hoothoot,Route 14,Yes,Yes,Yes,Yes,Yes,Limited,21-34
Ledyba,Route 14,No,Yes,Yes,Yes,Yes,Limited,21-27
Spinarak,Route 14,Yes,No,Yes,Yes,Yes,Limited,21-27
Wurmple,Route 14,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Nidorina,Route 15,Yes,Yes,Yes,Yes,Yes,Common,23
Nidorino,Route 15,Yes,Yes,Yes,Yes,Yes,Common,23
Chansey,Route 15,Yes,Yes,Yes,Yes,Yes,Rare,25
Pidgeotto,Route 15,Yes,Yes,Yes,Yes,No,Uncommon,25
Noctowl,Route 15,Yes,Yes,No,No,Yes,Uncommon,25
Hoppip,Route 15,Yes,Yes,Yes,Yes,No,Uncommon,22-24
Quagsire,Route 15,Yes,Yes,No,No,Yes,Uncommon,22-24
Plusle,Route 15,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Minun,Route 15,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Shinx,Route 15,Yes,Yes,Yes,Yes,Yes,Common,23-25
Hoothoot,Route 15,Yes,Yes,Yes,Yes,Yes,Limited,21-34
Ledyba,Route 15,No,Yes,Yes,Yes,Yes,Limited,21-27
Spinarak,Route 15,Yes,No,Yes,Yes,Yes,Limited,21-27
Wurmple,Route 15,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Fearow,Route 16,Yes,Yes,Yes,Yes,No,Common,27-29
Grimer,Route 16,Yes,Yes,Yes,Yes,Yes,Common,26-28
Muk,Route 16,Yes,Yes,Yes,Yes,Yes,Rare,29
Slugma,Route 16,Yes,Yes,Yes,Yes,Yes,Rare,27
Murkrow,Route 16,Yes,Yes,No,No,Yes,Uncommon,29
Plusle,Route 16,Yes,Yes,Yes,Yes,Yes,Uncommon,26-27
Minun,Route 16,Yes,Yes,Yes,Yes,Yes,Uncommon,28
Shinx,Route 16,Yes,Yes,Yes,Yes,Yes,Common,26-28
Spearow,Route 16,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Heracross,Route 16,Yes,Yes,Yes,Yes,Yes,Limited,26-27
Combee,Route 16,Yes,Yes,Yes,Yes,Yes,Limited,26-30
Fearow,Route 17,Yes,Yes,Yes,Yes,No,Common,28-30
Grimer,Route 17,Yes,Yes,Yes,Yes,Yes,Common,27-29
Muk,Route 17,Yes,Yes,Yes,Yes,No,Rare,32
Slugma,Route 17,Yes,Yes,Yes,Yes,Yes,Rare,29
Muk,Route 17,Yes,Yes,No,No,Yes,Uncommon,30-32
Plusle,Route 17,Yes,Yes,Yes,Yes,Yes,Uncommon,27-28
Minun,Route 17,Yes,Yes,Yes,Yes,Yes,Uncommon,29
Shinx,Route 17,Yes,Yes,Yes,Yes,Yes,Common,27-29
Fearow,Route 18,Yes,Yes,Yes,Yes,No,Common,27-29
